id,name,id_n
San Francisco,San Benito,"6069"
San Francisco,Shasta,"6089"
San Francisco,Sierra,"6091"
San Francisco,Fresno,"6019"
San Francisco,Amador,"6005"
San Francisco,El Dorado,"6017"
San Francisco,Monterey,"6053"
San Francisco,San Bernardino,"6071"
"60020",Manu'a,"60020"
"60050",Western,"60050"
San Francisco,Tehama,"6103"
San Francisco,Nevada,"6057"
San Francisco,Tuolumne,"6109"
San Francisco,Santa Barbara,"6083"
San Francisco,Trinity,"6105"
"51610",Falls Church,"51610"
San Francisco,Stanislaus,"6099"
San Francisco,Colusa,"6011"
San Francisco,Alpine,"6003"
San Francisco,Siskiyou,"6093"
San Francisco,Del Norte,"6015"
San Francisco,Inyo,"6027"
San Francisco,San Joaquin,"6077"
San Francisco,Imperial,"6025"
San Francisco,Calaveras,"6009"
San Francisco,Butte,"6007"
"69110",Saipan,"69110"
San Francisco,Madera,"6039"
San Francisco,Ventura,"6111"
San Francisco,Orange,"6059"
San Francisco,Kern,"6029"
San Francisco,Contra Costa,"6013"
San Francisco,Kings,"6031"
San Francisco,Mendocino,"6045"
San Francisco,Sonoma,"6097"
San Francisco,Yuba,"6115"
San Francisco,Merced,"6047"
San Francisco,Tulare,"6107"
"66010",Guam,"66010"
San Francisco,Sacramento,"6067"
San Francisco,Solano,"6095"
"69120",Tinian,"69120"
"69085",Northern Islands,"69085"
San Francisco,San Francisco,"6075"
San Francisco,Mariposa,"6043"
San Francisco,Marin,"6041"
San Francisco,Sutter,"6101"
San Francisco,Lassen,"6035"
San Francisco,Riverside,"6065"
"60010",Eastern,"60010"
San Francisco,Plumas,"6063"
San Francisco,Santa Clara,"6085"
San Francisco,Placer,"6061"
San Francisco,San Luis Obispo,"6079"
San Francisco,San Mateo,"6081"
San Francisco,Mono,"6051"
San Francisco,San Diego,"6073"
San Francisco,Napa,"6055"
San Francisco,Alameda,"6001"
San Francisco,Yolo,"6113"
San Francisco,Lake,"6033"
San Francisco,Los Angeles,"6037"
San Francisco,Glenn,"6021"
San Francisco,Santa Cruz,"6087"
San Francisco,Humboldt,"6023"
San Francisco,Modoc,"6049"
"69100",Rota,"69100"
