País de residencia,Total Nacional,Comunidades y Ciudades Autónomas,Total
TOTAL,TOTAL,,2.130.737
TOTAL,TOTAL,Andalucía,249.512
TOTAL,TOTAL,Aragón,36.689
TOTAL,TOTAL,Asturias,
TOTAL,TOTAL,Balears,
TOTAL,TOTAL,Canarias,148.091
TOTAL,TOTAL,Cantabria,39.016
TOTAL,TOTAL,Castilla y León,155.769
TOTAL,TOTAL,Castilla-La Mancha,33.432
TOTAL,TOTAL,Cataluña,245.129
TOTAL,TOTAL,Comunitat Valenciana,111.884
TOTAL,TOTAL,Extremadura,27.835
TOTAL,TOTAL,Galicia,461.316
TOTAL,TOTAL,Madrid,
TOTAL,TOTAL,Murcia,
TOTAL,TOTAL,Navarra,
TOTAL,TOTAL,País Vasco,74.958
TOTAL,TOTAL,Rioja,
TOTAL,TOTAL,Ciudad autónoma de Ceuta,2.693
TOTAL,TOTAL,Ciudad autónoma de Melilla,5.203
101 Albania,TOTAL,,36
101 Albania,TOTAL,Andalucía,4
101 Albania,TOTAL,Aragón,1
101 Albania,TOTAL,Asturias,
101 Albania,TOTAL,Balears,
101 Albania,TOTAL,Canarias,1
101 Albania,TOTAL,Cantabria,..
101 Albania,TOTAL,Castilla y León,4
101 Albania,TOTAL,Castilla-La Mancha,2
101 Albania,TOTAL,Cataluña,4
101 Albania,TOTAL,Comunitat Valenciana,7
101 Albania,TOTAL,Extremadura,..
101 Albania,TOTAL,Galicia,..
101 Albania,TOTAL,Madrid,
101 Albania,TOTAL,Murcia,
101 Albania,TOTAL,Navarra,
101 Albania,TOTAL,País Vasco,1
101 Albania,TOTAL,Rioja,
101 Albania,TOTAL,Ciudad autónoma de Ceuta,..
101 Albania,TOTAL,Ciudad autónoma de Melilla,..
126 Alemania,TOTAL,,128.4
126 Alemania,TOTAL,Andalucía,29.167
126 Alemania,TOTAL,Aragón,2.399
126 Alemania,TOTAL,Asturias,
126 Alemania,TOTAL,Balears,
126 Alemania,TOTAL,Canarias,3.246
126 Alemania,TOTAL,Cantabria,1.641
126 Alemania,TOTAL,Castilla y León,8.972
126 Alemania,TOTAL,Castilla-La Mancha,3.435
126 Alemania,TOTAL,Cataluña,17.556
126 Alemania,TOTAL,Comunitat Valenciana,10.2
126 Alemania,TOTAL,Extremadura,4.687
126 Alemania,TOTAL,Galicia,14.808
126 Alemania,TOTAL,Madrid,
126 Alemania,TOTAL,Murcia,
126 Alemania,TOTAL,Navarra,
126 Alemania,TOTAL,País Vasco,3.065
126 Alemania,TOTAL,Rioja,
126 Alemania,TOTAL,Ciudad autónoma de Ceuta,216
