"pais_id","pais","consulado_id","consulado","year","month","censo"
"302","ESTADOS UNIDOS DE AMERICA","303","WASHINGTON",2003,"12","3304"
NA,NA,"304","BOSTON",2003,"12","1593"
NA,NA,"306","CHICAGO",2003,"12","2712"
NA,NA,"308","HOUSTON",2003,"12","2378"
NA,NA,"310","LOS ANGELES",2003,"12","4382"
NA,NA,"312","MIAMI",2003,"12","9771"
NA,NA,"314","NUEVA ORLEANS",2003,"12","830"
NA,NA,"316","NUEVA YORK",2003,"12","13553"
NA,NA,"318","SAN FRANCISCO",2003,"12","4023"
"390","PUERTO RICO(*)","320","SAN JUAN DE PUERTO RICO",2003,"12","2679"
"302","ESTADOS UNIDOS DE AMERICA","303","WASHINGTON",2004,"12","3386"
NA,NA,"304","BOSTON",2004,"12","1595"
NA,NA,"306","CHICAGO",2004,"12","3027"
NA,NA,"308","HOUSTON",2004,"12","2313"
NA,NA,"310","LOS ANGELES",2004,"12","4440"
NA,NA,"312","MIAMI",2004,"12","10308"
NA,NA,"314","NUEVA ORLEANS",2004,"12","827"
NA,NA,"316","NUEVA YORK",2004,"12","13788"
NA,NA,"318","SAN FRANCISCO",2004,"12","4224"
"390","PUERTO RICO(*)","320","SAN JUAN DE PUERTO RICO",2004,"12","2767"
"302","ESTADOS UNIDOS DE AMERICA","303","WASHINGTON",2005,"12","3068"
NA,NA,"304","BOSTON",2005,"12","1624"
NA,NA,"306","CHICAGO",2005,"12","3113"
NA,NA,"308","HOUSTON",2005,"12","2221"
NA,NA,"310","LOS ANGELES",2005,"12","4161"
NA,NA,"312","MIAMI",2005,"12","10891"
NA,NA,"314","NUEVA ORLEANS",2005,"12","814"
NA,NA,"316","NUEVA YORK",2005,"12","13368"
NA,NA,"318","SAN FRANCISCO",2005,"12","4089"
"390","PUERTO RICO(*)","320","SAN JUAN DE PUERTO RICO",2005,"12","2751"
"302","ESTADOS UNIDOS DE AMERICA","303","WASHINGTON",2006,"12","3401"
NA,NA,"304","BOSTON",2006,"12","1601"
NA,NA,"306","CHICAGO",2006,"12","2754"
NA,NA,"308","HOUSTON",2006,"12","1929"
NA,NA,"310","LOS ANGELES",2006,"12","4495"
NA,NA,"312","MIAMI",2006,"12","11509"
NA,NA,"314","NUEVA ORLEANS",2006,"12","741"
NA,NA,"316","NUEVA YORK",2006,"12","13422"
NA,NA,"318","SAN FRANCISCO",2006,"12","4207"
"302","ESTADOS UNIDOS DE AMERICA","303","WASHINGTON",2007,"12","3499"
NA,NA,"304","BOSTON",2007,"12","1643"
NA,NA,"306","CHICAGO",2007,"12","3247"
NA,NA,"308","HOUSTON",2007,"12","2268"
NA,NA,"310","LOS ANGELES",2007,"12","4728"
NA,NA,"312","MIAMI",2007,"12","12168"
NA,NA,"314","NUEVA ORLEANS",2007,"12","753"
NA,NA,"316","NUEVA YORK",2007,"12","13968"
NA,NA,"318","SAN FRANCISCO",2007,"12","4509"
"302","ESTADOS UNIDOS DE AMERICA","303","WASHINGTON",2008,"12","3949"
NA,NA,"304","BOSTON",2008,"12","1790"
NA,NA,"306","CHICAGO",2008,"12","3687"
NA,NA,"308","HOUSTON",2008,"12","2658"
NA,NA,"310","LOS ANGELES",2008,"12","4877"
NA,NA,"312","MIAMI",2008,"12","13017"
NA,NA,"314","NUEVA ORLEANS",2008,"12","765"
NA,NA,"316","NUEVA YORK",2008,"12","14417"
NA,NA,"318","SAN FRANCISCO",2008,"12","4605"
"302","ESTADOS UNIDOS DE AMERICA","303","WASHINGTON",2009,"12","4156"
NA,NA,"304","BOSTON",2009,"12","1888"
NA,NA,"306","CHICAGO",2009,"12","3868"
NA,NA,"308","HOUSTON",2009,"12","4119"
NA,NA,"310","LOS ANGELES",2009,"12","5359"
NA,NA,"312","MIAMI",2009,"12","13659"
NA,NA,"314","NUEVA ORLEANS",2009,"12","92"
NA,NA,"316","NUEVA YORK",2009,"12","15047"
NA,NA,"318","SAN FRANCISCO",2009,"12","4867"
"302","ESTADOS UNIDOS DE AMERICA","303","WASHINGTON",2010,"12","4380"
"302",NA,"304","BOSTON",2010,"12","2134"
"302",NA,"306","CHICAGO",2010,"12","4043"
"302",NA,"308","HOUSTON",2010,"12","4731"
"302",NA,"310","LOS ANGELES",2010,"12","5813"
"302",NA,"312","MIAMI",2010,"12","15613"
"302",NA,"314","NUEVA ORLEANS",2010,"12","57"
"302",NA,"316","NUEVA YORK",2010,"12","15780"
"302",NA,"318","SAN FRANCISCO",2010,"12","5110"
"302","ESTADOS UNIDOS DE AMERICA","303","WASHINGTON",2011,"12","4779"
"302",NA,"304","BOSTON",2011,"12","2351"
"302",NA,"306","CHICAGO",2011,"12","4264"
"302",NA,"308","HOUSTON",2011,"12","5280"
"302",NA,"310","LOS ANGELES",2011,"12","6332"
"302",NA,"312","MIAMI",2011,"12","18069"
"302",NA,"316","NUEVA YORK",2011,"12","16891"
"302",NA,"318","SAN FRANCISCO",2011,"12","5455"
"302","ESTADOS UNIDOS DE AMERICA","304","BOSTON",2012,"12","2514"
"302","ESTADOS UNIDOS DE AMERICA","306","CHICAGO",2012,"12","4567"
"302","ESTADOS UNIDOS DE AMERICA","308","HOUSTON",2012,"12","5863"
"302","ESTADOS UNIDOS DE AMERICA","310","LOS ANGELES",2012,"12","6803"
"302","ESTADOS UNIDOS DE AMERICA","312","MIAMI",2012,"12","20005"
"302","ESTADOS UNIDOS DE AMERICA","316","NUEVA YORK",2012,"12","17956"
"302","ESTADOS UNIDOS DE AMERICA","318","SAN FRANCISCO",2012,"12","5796"
"302","ESTADOS UNIDOS DE AMERICA","303","WASHINGTON",2012,"12","4986"
"302","ESTADOS UNIDOS DE AMÉRICA","304","BOSTON",2013,"12","2759"
