"provincia","year","censo"
"TOTAL ESPAÑA",2022,41953
"TOTAL ESPAÑA",2021,39812
"TOTAL ESPAÑA",2020,40712
"TOTAL ESPAÑA",2019,37352
"TOTAL ESPAÑA",2018,34705
"TOTAL ESPAÑA",2017,32954
"TOTAL ESPAÑA",2016,31557
"TOTAL ESPAÑA",2015,30183
"TOTAL ESPAÑA",2014,29371
"TOTAL ESPAÑA",2013,28743
"TOTAL ESPAÑA",2012,27856
"TOTAL ESPAÑA",2011,26611
"TOTAL ESPAÑA",2010,25771
"TOTAL ESPAÑA",2009,24934
"TOTAL ESPAÑA",2008,23903
"TOTAL ESPAÑA",2007,22082
"TOTAL ESPAÑA",2006,24517
"TOTAL ESPAÑA",2005,25831
"TOTAL ESPAÑA",2004,22184
"TOTAL ESPAÑA",2003,23398
