Spanish,English
ALBANIA,Albania
AUSTRIA,Austria
BELGICA,Belgium
BULGARIA,Bulgaria
CHIPRE,Cyprus
DINAMARCA,Denmark
FINLANDIA,Finland
FRANCIA,France
GRECIA,Greece
HUNGRIA,Hungary
IRLANDA,Ireland
ISLANDIA,Iceland
ITALIA,Italy
LIECHTENSTEIN,Liechtenstein
LUXEMBURGO,Luxembourg
MONACO,Monaco
NORUEGA,Norway
PAISES BAJOS,Netherlands
POLONIA,Poland
PORTUGAL,Portugal
ANDORRA,Andorra
REINO UNIDO,United Kingdom
ALEMANIA,Germany
RUMANIA,Romania
SUECIA,Sweden
SUIZA,Switzerland
UCRANIA,Ukraine
LETONIA,Latvia
BELARUS,Belarus
GEORGIA,Georgia
ESTONIA,Estonia
LITUANIA,Lithuania
REPUBLICA CHECA,Czech Republic
REPUBLICA ESLOVACA,Slovakia
BOSNIA Y HERZEGOVINA,Bosnia and Herzegovina
CROACIA,Croatia
ESLOVENIA,Slovenia
RUSIA,Russia
SERBIA Y MONTENEGRO,Serbia and Montenegro
SERBIA,Serbia
MONTENEGRO
BURKINA FASO,Burkina Faso
ANGOLA,Angola
ARGELIA,Algeria
BENIN,Benin
BOTSWANA,Botswana
BURUNDI,Burundi
CABO VERDE,Cape Verde
CAMERUN,Cameroon
CONGO,Congo
COSTA DE MARFIL,Ivory Coast
EGIPTO,Egypt
ETIOPIA,Ethiopia
GABON,Gabon
GAMBIA,Gambia
GHANA,Ghana
GUINEA,Guinea
GUINEA-BISSAU,Guinea-Bissau
GUINEA ECUATORIAL,Equatorial Guinea
KENIA,Kenya
LIBERIA,Liberia
LIBIA,Libya
MADAGASCAR,Madagascar
MALAWI,Malawi
MALI,Mali
MARRUECOS,Morocco
MAURICIO,Mauritius
MAURITANIA,Mauritania
MOZAMBIQUE,Mozambique
NAMIBIA,Namibia
NIGER,Niger
NIGERIA,Nigeria
REPUBLICA CENTROAFRICANA,Central African Republic
SUDAFRICA,South Africa
RWANDA,Rwanda
SANTO TOME Y PRINCIPE,Sao Tome and Principe
SENEGAL,Senegal
SEYCHELLES,Seychelles
SUDAN,Sudan
TANZANIA,Tanzania
CHAD,Chad
TOGO,Togo
TUNEZ,Tunisia
UGANDA,Uganda
REPUBLICA DEMOCRATICA DEL CONGO,Democratic Republic of the Congo
ZAMBIA,Zambia
ZIMBABWE,Zimbabwe
CANADA,Canada
ESTADOS UNIDOS DE AMERICA,United States of America
MEXICO,Mexico
ANTIGUA Y BARBUDA,Antigua and Barbuda
BAHAMAS,Bahamas
BARBADOS,Barbados
BELICE,Belize
COSTA RICA,Costa Rica
CUBA,Cuba
EL SALVADOR,El Salvador
GUATEMALA,Guatemala
HAITI,Haiti
HONDURAS,Honduras
JAMAICA,Jamaica
NICARAGUA,Nicaragua
PANAMA,Panama
REPUBLICA DOMINICANA,Dominican Republic
SANTA LUCIA,Saint Lucia
ARGENTINA,Argentina
BOLIVIA,Bolivia
BRASIL,Brazil
COLOMBIA,Colombia
CHILE,Chile
ECUADOR,Ecuador
PARAGUAY,Paraguay
PERU,Peru
URUGUAY,Uruguay
VENEZUELA,Venezuela
PUERTO RICO(*),Puerto Rico
ARUBA(*),Aruba
ANTILLAS NEERLANDESAS(*),Netherlands Antilles
ANGUILLA,Anguilla
ISLAS VIRGENES BRITANICAS,British Virgin Islands
